epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,19100.7,0.74363,0.5108,0.95238,0.86831,0.84966,0.92603,0.7482,0.94252,0.55267,1.0124,0.00326734,0.00326734,0.00326734
103,19290.4,0.74245,0.50681,0.95356,0.87042,0.84794,0.92609,0.74866,0.94244,0.55212,1.01257,0.00320068,0.00320068,0.00320068
104,19477.3,0.74651,0.50924,0.9542,0.87585,0.84236,0.92637,0.74867,0.94261,0.55154,1.01249,0.00313402,0.00313402,0.00313402
105,19657.3,0.73327,0.50185,0.9488,0.87553,0.84382,0.92636,0.74907,0.94255,0.55087,1.01225,0.00306736,0.00306736,0.00306736
106,19836.7,0.72842,0.49905,0.94609,0.87446,0.84621,0.92642,0.74909,0.94231,0.55037,1.01168,0.0030007,0.0030007,0.0030007
107,20018.9,0.74037,0.5033,0.94927,0.87286,0.84671,0.92649,0.74911,0.9423,0.5504,1.01122,0.00293404,0.00293404,0.00293404
108,20198.4,0.73625,0.50182,0.95102,0.87432,0.84576,0.92654,0.74928,0.9423,0.55028,1.01125,0.00286738,0.00286738,0.00286738
109,20379.5,0.73388,0.50062,0.95042,0.87302,0.8477,0.92638,0.74936,0.94217,0.55005,1.01157,0.00280072,0.00280072,0.00280072
110,20559.1,0.73774,0.49903,0.95139,0.87398,0.84727,0.92654,0.74953,0.94198,0.54978,1.01157,0.00273406,0.00273406,0.00273406
111,20738.3,0.73841,0.50071,0.94996,0.86962,0.85078,0.92628,0.74938,0.94203,0.54977,1.01147,0.0026674,0.0026674,0.0026674
112,20917.1,0.73689,0.50161,0.94803,0.86861,0.85219,0.92643,0.74933,0.94189,0.5494,1.01132,0.00260074,0.00260074,0.00260074
113,21095.2,0.73447,0.49969,0.94946,0.87019,0.85124,0.92649,0.74963,0.94164,0.54909,1.01082,0.00253408,0.00253408,0.00253408
114,21285.3,0.73138,0.49475,0.94666,0.86693,0.85468,0.92659,0.74982,0.94133,0.54876,1.01048,0.00246742,0.00246742,0.00246742
115,21480,0.73927,0.49879,0.94949,0.86765,0.8541,0.92663,0.74994,0.94123,0.54812,1.01052,0.00240076,0.00240076,0.00240076
116,21668.6,0.72735,0.49598,0.94841,0.86795,0.85304,0.92669,0.74992,0.94117,0.54797,1.01055,0.0023341,0.0023341,0.0023341
117,21851.5,0.7375,0.49516,0.94822,0.86798,0.85266,0.92666,0.75007,0.94098,0.54756,1.01044,0.00226744,0.00226744,0.00226744
118,22033.4,0.72031,0.48781,0.94575,0.8655,0.8548,0.92688,0.75005,0.94112,0.54734,1.01043,0.00220078,0.00220078,0.00220078
119,22215.3,0.72688,0.49021,0.94806,0.86489,0.85553,0.92701,0.75027,0.94096,0.5472,1.0103,0.00213412,0.00213412,0.00213412
120,22397.3,0.73052,0.49222,0.9476,0.86442,0.8562,0.92693,0.75053,0.94082,0.54686,1.01018,0.00206746,0.00206746,0.00206746
121,22578.5,0.71869,0.48796,0.94307,0.86549,0.85543,0.92698,0.75062,0.94081,0.54673,1.01012,0.0020008,0.0020008,0.0020008
122,22754.8,0.71797,0.48508,0.94458,0.86404,0.85529,0.92692,0.7507,0.94083,0.54666,1.0103,0.00193414,0.00193414,0.00193414
123,22932.5,0.72468,0.48675,0.94739,0.86726,0.85277,0.92697,0.7508,0.94081,0.54649,1.01017,0.00186748,0.00186748,0.00186748
124,23109.4,0.73018,0.49209,0.94629,0.86869,0.85164,0.92719,0.75109,0.9407,0.54645,1.00997,0.00180082,0.00180082,0.00180082
125,23285,0.73296,0.49122,0.94864,0.86888,0.85166,0.92715,0.75082,0.94063,0.54626,1.00997,0.00173416,0.00173416,0.00173416
126,23463.2,0.71205,0.47984,0.94117,0.86832,0.85128,0.92701,0.75107,0.94063,0.54612,1.00991,0.0016675,0.0016675,0.0016675
127,23642.7,0.71171,0.48038,0.94227,0.86913,0.85115,0.92705,0.75096,0.94066,0.54585,1.00988,0.00160084,0.00160084,0.00160084
128,23820.6,0.72482,0.48607,0.94456,0.87082,0.84988,0.92702,0.75111,0.94067,0.54575,1.00991,0.00153418,0.00153418,0.00153418
129,24005.6,0.72576,0.48658,0.94654,0.87361,0.84711,0.92685,0.75111,0.94065,0.54558,1.01001,0.00146752,0.00146752,0.00146752
130,24195,0.70829,0.47813,0.94148,0.86949,0.85158,0.92691,0.75131,0.94054,0.54536,1.00988,0.00140086,0.00140086,0.00140086
131,24382.8,0.71245,0.48198,0.94071,0.87158,0.84984,0.92704,0.75129,0.94045,0.54516,1.00978,0.0013342,0.0013342,0.0013342
132,24568,0.71758,0.48113,0.94333,0.8713,0.85038,0.92716,0.75156,0.94048,0.5452,1.0098,0.00126754,0.00126754,0.00126754
133,24750.2,0.70788,0.47587,0.93974,0.87242,0.84954,0.9272,0.75148,0.94039,0.54526,1.00979,0.00120088,0.00120088,0.00120088
134,24924.9,0.71273,0.47885,0.93996,0.8707,0.85059,0.92692,0.75133,0.94027,0.54491,1.00978,0.00113422,0.00113422,0.00113422
135,25104,0.70284,0.47708,0.93933,0.87178,0.85016,0.92709,0.75146,0.94022,0.54488,1.00977,0.00106756,0.00106756,0.00106756
136,25286.2,0.7129,0.47951,0.9404,0.87335,0.84918,0.92721,0.75162,0.94021,0.54495,1.0098,0.0010009,0.0010009,0.0010009
137,25464,0.70918,0.47642,0.9395,0.87157,0.85114,0.9271,0.75161,0.94017,0.54479,1.00971,0.00093424,0.00093424,0.00093424
138,25640.4,0.71336,0.47577,0.94136,0.87206,0.85042,0.92714,0.75153,0.94021,0.54473,1.00968,0.00086758,0.00086758,0.00086758
139,25819.1,0.71369,0.47834,0.94164,0.87186,0.85058,0.92723,0.75153,0.94023,0.54464,1.00968,0.00080092,0.00080092,0.00080092
140,25994.9,0.70618,0.47375,0.93869,0.8725,0.84973,0.92714,0.75163,0.94023,0.54462,1.0097,0.00073426,0.00073426,0.00073426
141,26171.4,0.6986,0.44516,0.9345,0.87214,0.85026,0.92706,0.75157,0.94024,0.54455,1.00966,0.0006676,0.0006676,0.0006676
142,26345.1,0.69201,0.43924,0.93076,0.87321,0.84891,0.92695,0.75175,0.94032,0.54453,1.00965,0.00060094,0.00060094,0.00060094
143,26519.2,0.68789,0.43884,0.92973,0.87166,0.8501,0.92703,0.75181,0.94043,0.54438,1.00966,0.00053428,0.00053428,0.00053428
144,26688.6,0.69015,0.44048,0.93266,0.87162,0.85009,0.92705,0.75195,0.94053,0.5443,1.00969,0.00046762,0.00046762,0.00046762
145,26857.4,0.6885,0.4379,0.93013,0.87254,0.84952,0.9271,0.75188,0.94047,0.54404,1.00971,0.00040096,0.00040096,0.00040096
146,27027,0.68584,0.43758,0.92951,0.87094,0.85089,0.92698,0.75185,0.94055,0.54387,1.00979,0.0003343,0.0003343,0.0003343
147,27195,0.6862,0.43754,0.9312,0.8711,0.85067,0.92699,0.75192,0.94061,0.54368,1.00983,0.00026764,0.00026764,0.00026764
148,27361.9,0.67946,0.43287,0.92856,0.87139,0.85086,0.92705,0.75201,0.94059,0.5436,1.00987,0.00020098,0.00020098,0.00020098
149,27528.7,0.67771,0.4315,0.92743,0.87139,0.85095,0.92717,0.75208,0.94055,0.54358,1.0099,0.00013432,0.00013432,0.00013432
150,27695.3,0.67824,0.43027,0.92887,0.86784,0.85375,0.92729,0.75215,0.94055,0.54339,1.00995,6.766e-05,6.766e-05,6.766e-05
