epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
117,28693.8,0.46759,0.4863,0.12709,0.83913,0.80086,0.85667,0.62311,0.41237,0.48326,0.13486,0.00226744,0.00226744,0.00226744
118,28939.7,0.46758,0.48678,0.12763,0.83979,0.80078,0.8573,0.62322,0.41232,0.48324,0.13491,0.00220078,0.00220078,0.00220078
119,29185.4,0.45933,0.4841,0.12399,0.8386,0.79976,0.85723,0.62321,0.41222,0.48311,0.13488,0.00213412,0.00213412,0.00213412
120,29430.2,0.46233,0.48379,0.12585,0.83881,0.80046,0.85759,0.62344,0.41243,0.48242,0.13509,0.00206746,0.00206746,0.00206746
121,29674.6,0.46326,0.48131,0.12472,0.84081,0.79923,0.85782,0.62348,0.41236,0.48269,0.13513,0.0020008,0.0020008,0.0020008
122,29920.1,0.46365,0.48114,0.12494,0.83907,0.80116,0.8576,0.62366,0.4123,0.48264,0.13493,0.00193414,0.00193414,0.00193414
123,30166.5,0.46009,0.48255,0.12378,0.84163,0.79865,0.85777,0.62358,0.41232,0.48209,0.13505,0.00186748,0.00186748,0.00186748
124,30412.9,0.46665,0.48242,0.12529,0.84061,0.80021,0.8578,0.62369,0.41232,0.48188,0.13526,0.00180082,0.00180082,0.00180082
125,30659.5,0.46229,0.47804,0.12478,0.8413,0.80098,0.85856,0.62428,0.41216,0.48149,0.13519,0.00173416,0.00173416,0.00173416
126,30906.3,0.46211,0.47766,0.12498,0.84258,0.79989,0.85874,0.62449,0.41229,0.48123,0.13511,0.0016675,0.0016675,0.0016675
127,31152.5,0.45654,0.47999,0.12255,0.84227,0.80072,0.85897,0.62461,0.41234,0.48098,0.13519,0.00160084,0.00160084,0.00160084
128,31398.1,0.45933,0.47975,0.12323,0.84288,0.80029,0.85925,0.62489,0.41222,0.48073,0.13496,0.00153418,0.00153418,0.00153418
129,31644.3,0.45467,0.47941,0.12314,0.84392,0.80009,0.85946,0.6252,0.41221,0.48047,0.13508,0.00146752,0.00146752,0.00146752
130,31891.1,0.45425,0.48002,0.12244,0.8455,0.79882,0.8595,0.62513,0.41216,0.48043,0.13498,0.00140086,0.00140086,0.00140086
131,32135.8,0.45771,0.47941,0.12186,0.84411,0.79936,0.85934,0.62507,0.4122,0.48034,0.13491,0.0013342,0.0013342,0.0013342
132,32381.2,0.4512,0.47349,0.12078,0.84411,0.79967,0.85957,0.6254,0.41204,0.48048,0.13496,0.00126754,0.00126754,0.00126754
133,32626.8,0.45259,0.47408,0.12159,0.84542,0.7991,0.85991,0.62559,0.41187,0.48037,0.13497,0.00120088,0.00120088,0.00120088
134,32871.8,0.44588,0.47737,0.11927,0.84268,0.80163,0.86037,0.62587,0.41181,0.48,0.135,0.00113422,0.00113422,0.00113422
135,33117.9,0.45216,0.47384,0.12109,0.84542,0.8004,0.86049,0.62576,0.41165,0.47976,0.13508,0.00106756,0.00106756,0.00106756
